Source ID,Title,Publisher,Author,Publication date,Access date,URL,Source type,Primary / Secondary / Tertiary,Company / Industry / Macro,Relevant topic,Claims supported,Page or section,Potential bias,Confidence level,Notes
S01,ServiceNow Reports Second Quarter 2026 Financial Results,ServiceNow,ServiceNow,2026-07-22,2026-07-29,https://investor.servicenow.com/news/news-details/2026/ServiceNow-Reports-Second-Quarter-2026-Financial-Results/default.aspx,Earnings release,Primary,Company,Financials and AI monetization,"Q2 revenue; cRPO/RPO; AI ACV; large customers; margins; balance sheet",Highlights; financial tables,Company-selected KPIs and non-GAAP framing,High,FACT for reported figures; management statements remain COMPANY CLAIM
S02,GitLab Reports First Quarter Fiscal Year 2027 Financial Results,GitLab,GitLab,2026-06-02,2026-07-29,https://ir.gitlab.com/news/news-details/2026/GitLab-Reports-First-Quarter-Fiscal-Year-2027-Financial-Results/default.aspx,Earnings release,Primary,Company,Financials and adoption,"Revenue; margins; FCF; guidance; cash; restructuring; customer metrics",Highlights; financial tables,Company-selected KPIs and non-GAAP framing,High,FACT for reported figures
S03,UiPath Reports First Quarter Fiscal 2027 Financial Results,UiPath,UiPath,2026-05-28,2026-07-29,https://ir.uipath.com/news/detail/452/uipath-reports-first-quarter-fiscal-2027-financial-results,Earnings release,Primary,Company,Financials and adoption,"Revenue; ARR; NRR; margins; FCF; cash; guidance",Highlights; financial tables,Company-selected KPIs and non-GAAP framing,High,FACT for reported figures; pilot-to-production wording is COMPANY CLAIM
S04,Microsoft FY26 Third Quarter Earnings Release,Microsoft,Microsoft,2026-04-29,2026-07-29,https://www.microsoft.com/en-us/investor/earnings/FY-2026-Q3/press-release-webcast,Earnings release,Primary,Company / Macro,AI revenue and cloud,"AI revenue run rate; revenue; Azure growth; Cloud revenue; RPO",Business highlights,Company-selected metrics,High,Latest Microsoft quarter available before FY26 Q4 release after U.S. close on cut-off date
S05,Microsoft Fiscal Year 2026 Third Quarter Earnings Conference Call,Microsoft,Microsoft,2026-04-29,2026-07-29,https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q3,Earnings transcript,Primary,Company / Macro,CapEx and AI economics,"CapEx; asset mix; FCF; AI ARR; Copilot paid seats; cloud gross margin",Prepared remarks,Management framing and forward-looking statements,High,Quotes used sparingly and labelled
S06,Amazon.com Announces First Quarter 2026 Results,Amazon,Amazon,2026-04-29,2026-07-29,https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-First-Quarter-Results/,Earnings release,Primary,Macro,Cloud monetization and CapEx,"AWS growth and profit; operating cash flow; FCF decline from AI PP&E investment",Financial highlights,Company framing,High,FACT for reported figures
S07,Meta Reports First Quarter 2026 Results,Meta Platforms,Meta Platforms,2026-04-29,2026-07-29,https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Reports-First-Quarter-2026-Results/default.aspx,Earnings release,Primary,Macro,AI CapEx,"Quarterly CapEx; FY2026 CapEx guide; revenue; operating margin; FCF",Financial highlights; CFO outlook,Forward-looking guidance,High,FACT for actuals; guidance dated
S08,NVIDIA Announces Financial Results for First Quarter Fiscal 2027,NVIDIA,NVIDIA,2026-05-20,2026-07-29,https://investor.nvidia.com/news/press-release-details/2026/NVIDIA-Announces-Financial-Results-for-First-Quarter-Fiscal-2027/default.aspx,Earnings release,Primary,Macro,AI infrastructure revenue,"Data Center revenue; total revenue; margins",Q1 FY27 summary,Company framing,High,FACT for reported figures
S09,TSMC 2026 Q2 Quarterly Results,TSMC,TSMC,2026-07-16,2026-07-29,https://investor.tsmc.com/english/quarterly-results/2026/q2,Earnings materials,Primary,Macro,AI semiconductor demand,"Revenue; gross margin; operating margin; Q3 guidance",Guidance table,Company framing and cyclicality,High,Web-accessible; automated archive returned HTTP 403
S10,ServiceNow 2025 Annual Report / Company Facts,SEC / ServiceNow,ServiceNow,2026-01-29,2026-07-29,https://data.sec.gov/api/xbrl/companyfacts/CIK0001373715.json,Regulatory filing data,Primary,Company,Historical financials,"Revenue; gross profit; operating income; cash flow; capex; SBC; shares",XBRL facts,Taxonomy and period-selection risk,High,Calculations reconciled to accession-level facts
S11,GitLab FY2026 Form 10-K,SEC / GitLab,GitLab,2026-03-17,2026-07-29,https://ir.gitlab.com/financials/sec-filings/sec-filings-details/default.aspx?FilingId=19257222,10-K,Primary,Company,Historical financials and risks,"Revenue; gross profit; operating loss; cash flow; SBC; risk factors",Financial statements; risk factors,Issuer disclosure,High,Accession-level tags retained in data/financials/sec_metrics_long.csv
S12,UiPath FY2026 Form 10-K,SEC / UiPath,UiPath,2026-03-25,2026-07-29,https://ir.uipath.com/financials/sec-filings/content/0001734722-26-000012/path-20260131.htm,10-K,Primary,Company,Historical financials and risks,"Revenue; gross profit; operating income; cash flow; SBC; risk factors",Financial statements; MD&A; risk factors,Issuer disclosure,High,Accession-level tags retained
